127.0.0.1 - - [03/Oct/2023:20:27:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:27:59 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:28:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:31:58 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:50:45 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:51:37 +0530] "POST /Form_Submit_App/register HTTP/1.1" 500 5836
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:53:51 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:07:19 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:07:19 +0530] "GET /Form_Submit_App/path/to/your-logo.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:10:26 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:19:00 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:23:32 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 4233
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:27:26 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 4748
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:31:46 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [03/Oct/2023:21:35:01 +0530] "GET /Form_Submit_App/ HTTP/1.1" 200 4846
